,postalCode,shape_area,borough,PO_NAME,area_sqkm,area_sqmi
0,00083,38300990.4037,Manhattan,Central Park,38.3009904037,14.788088996849376
1,10001,17794940.7729,Manhattan,New York,17.7949407729,6.870662222298235
2,10002,26280128.5931,Manhattan,New York,26.2801285931,10.146810210053095
3,10003,15538376.2738,Manhattan,New York,15.5383762738,5.999398156066728
4,10004,13554813.42382,Manhattan,New York,13.55481342382,5.23354057256375
5,10005,2082901.14074,Manhattan,New York,2.0829011407399998,0.8042122962419954
6,10006,1716640.90186,Manhattan,New York,1.7166409018600002,0.6627984854899498
7,10007,5328635.48537,Manhattan,New York,5.3286354853699995,2.0573968181723274
8,10009,15903519.5061,Manhattan,New York,15.9035195061,6.140380688344222
9,10010,9768395.37543,Manhattan,New York,9.76839537543,3.771596991244274
10,10011,18118416.8465,Manhattan,New York,18.1184168465,6.9955569812673435
11,10012,9193739.33105,Manhattan,New York,9.193739331049999,3.5497211431970666
12,10013,15580577.9879,Manhattan,New York,15.5805779879,6.015692322284166
13,10014,14151051.856,Manhattan,New York,14.151051856,5.463749423705313
14,10016,15042403.038,Manhattan,New York,15.042403038,5.807901897777876
15,10017,9794383.24005,Manhattan,New York,9.79438324005,3.7816309577497846
16,10018,10705796.4792,Manhattan,New York,10.7057964792,4.133529432212079
17,10019,18828383.1169,Manhattan,New York,18.8283831169,7.269676378201324
18,10020,697297.022409,Manhattan,New York,0.6972970224089999,0.2692277749461597
19,10021,10495132.7484,Manhattan,New York,10.495132748400001,4.052191744422737
20,10022,12728335.6232,Manhattan,New York,12.7283356232,4.914435840788766
21,10023,15212712.6783,Manhattan,New York,15.2127126783,5.873658790516987
22,10024,22877335.4506,Manhattan,New York,22.877335450599997,8.83298497214756
23,10025,19631043.8226,Manhattan,New York,19.6310438226,7.579585281993505
24,10026,11092681.4885,Manhattan,New York,11.0926814885,4.282906508072827
25,10027,24695278.5688,Manhattan,New York,24.6952785688,9.534896445970817
26,10028,9842046.47962,Manhattan,New York,9.84204647962,3.8000338298742413
27,10029,22963435.6768,Manhattan,New York,22.9634356768,8.866228441683834
28,10030,7757661.45487,Manhattan,New York,7.757661454869999,2.9952486030482164
29,10031,16902152.3658,Manhattan,New York,16.9021523658,6.525954832740111
30,10032,23159566.0919,Manhattan,New York,23.159566091899997,8.941954787214772
31,10033,16156054.1726,Manhattan,New York,16.156054172599998,6.2378848281492045
32,10034,24503892.12,Manhattan,New York,24.50389212,9.46100175531624
33,10035,38940528.7966,Manhattan,New York,38.9405287966,15.035016049424852
34,10036,11395110.5096,Manhattan,New York,11.3951105096,4.399674957977579
35,10037,7188980.95327,Manhattan,New York,7.188980953270001,2.7756799240194536
36,10038,7022760.6429,Manhattan,New York,7.022760642900001,2.7115019297449763
37,10039,8419027.88454,Manhattan,New York,8.41902788454,3.250603504276663
38,10040,16340742.7954,Manhattan,New York,16.3407427954,6.309193474789531
39,10041,162236.646863,Manhattan,New York,0.162236646863,0.06263989382709802
40,10043,38262.3648074,Manhattan,New York,0.0382623648074,0.014773175576866755
41,10044,6296113.26978,Manhattan,New York,6.296113269779999,2.430941925688597
42,10045,47808.9854242,Manhattan,New York,0.0478089854242,0.018459144890254468
43,10047,20299.5593662,Manhattan,New York,0.0202995593662,0.007837700470408552
44,10048,972788.42696,Manhattan,New York,0.97278842696,0.37559555722610993
45,10055,37223.5387892,Manhattan,New York,0.0372235387892,0.014372082773587697
46,10065,11442579.5473,Manhattan,New York,11.4425795473,4.418002848371624
47,10069,2372365.88899,Manhattan,New York,2.3723658889899997,0.9159752144708169
48,10075,4809654.93064,Manhattan,New York,4.80965493064,1.8570173880299652
49,10080,77111.44771,Manhattan,New York,0.07711144770999999,0.029772884183726415
50,10081,30240.5054524,Manhattan,New York,0.0302405054524,0.011675919636182546
51,10096,42106.1146917,Manhattan,New York,0.0421061146917,0.016257255094694754
52,10097,65826.1779787,Manhattan,New York,0.0658261779787,0.025415618969932025
53,10103,62713.2534062,Manhattan,New York,0.0627132534062,0.024213712566640632
54,10104,89721.8525423,Manhattan,New York,0.0897218525423,0.034641786710287115
55,10105,35422.1567546,Manhattan,New York,0.035422156754600004,0.01367656556726457
56,10106,31052.5527962,Manhattan,New York,0.031052552796200002,0.011989452739718413
57,10107,23030.1758969,Manhattan,New York,0.0230301758969,0.008891996974144884
58,10110,21249.0635162,Manhattan,New York,0.0212490635162,0.008204305921731853
59,10111,103066.25326,Manhattan,New York,0.10306625326,0.03979408651619252
60,10112,16700.7379806,Manhattan,New York,0.016700737980599997,0.00644818833578562
61,10115,71720.1250888,Manhattan,New York,0.0717201250888,0.02769128373703586
62,10118,91733.7153701,Manhattan,New York,0.0917337153701,0.03541857097182635
63,10119,126392.973553,Manhattan,New York,0.126392973553,0.04880057987476041
64,10120,35179.27222,Manhattan,New York,0.03517927222,0.01358278736268644
65,10121,115104.799339,Manhattan,New York,0.115104799339,0.04444219323438658
66,10122,23294.6381032,Manhattan,New York,0.0232946381032,0.008994106360921727
67,10123,16138.5369623,Manhattan,New York,0.016138536962300002,0.006231121398217955
68,10128,11011681.5568,Manhattan,New York,11.011681556800001,4.251632272443594
69,10151,21380.2683788,Manhattan,New York,0.0213802683788,0.008254964381591437
70,10152,59924.9982704,Manhattan,New York,0.0599249982704,0.023137161682197982
71,10153,80339.6472271,Manhattan,New York,0.08033964722709999,0.03101929847367776
72,10154,79148.8023924,Manhattan,New York,0.0791488023924,0.030559510901310427
73,10155,24784.6885389,Manhattan,New York,0.0247846885389,0.009569417814246368
74,10158,35395.7701438,Manhattan,New York,0.0353957701438,0.013666377644061468
75,10162,21034.8869204,Manhattan,New York,0.021034886920400002,0.008121611909740282
76,10165,40779.8152022,Manhattan,New York,0.0407798152022,0.015745168209199824
77,10166,110438.62317,Manhattan,New York,0.11043862317,0.04264057328318334
78,10167,80926.1872511,Manhattan,New York,0.0809261872511,0.031245762750024213
79,10168,27810.1220594,Manhattan,New York,0.027810122059400002,0.01073754374737846
80,10169,66246.3463652,Manhattan,New York,0.0662463463652,0.025577846824296452
81,10170,61793.1751378,Manhattan,New York,0.0617931751378,0.023858468507054854
82,10171,23525.085921,Manhattan,New York,0.023525085921000003,0.009083082724269944
83,10172,79589.1001039,Manhattan,New York,0.0795891001039,0.030729510728315996
84,10173,25689.4205868,Manhattan,New York,0.0256894205868,0.009918736667404653
85,10174,44203.2255484,Manhattan,New York,0.0442032255484,0.017066953790688337
86,10175,18685.3945268,Manhattan,New York,0.0186853945268,0.007214468197586534
87,10176,18289.0897346,Manhattan,New York,0.018289089734599997,0.007061454124708528
88,10177,24688.0511035,Manhattan,New York,0.024688051103500003,0.009532105907163559
89,10178,51303.0376357,Manhattan,New York,0.051303037635699995,0.01980820543721904
90,10196,35657.26530419,Manhattan,New York,0.03565726530419,0.013767341448478368
91,10203,37226.8835853,Manhattan,New York,0.0372268835853,0.0143733742060515
92,10259,21064.3129523,Manhattan,New York,0.021064312952299998,0.008132973359508933
93,10260,52514.7350789,Manhattan,New York,0.0525147350789,0.020276044243433447
94,10265,17229.1549665,Manhattan,New York,0.017229154966499998,0.006652211190875583
95,10270,31255.8004282,Manhattan,New York,0.031255800428200003,0.012067927056928877
96,10271,49236.8772023,Manhattan,New York,0.0492368772023,0.019010456761562437
97,10275,48280.4150043,Manhattan,New York,0.0482804150043,0.018641164793990236
98,10278,206705.99517,Manhattan,New York,0.20670599517000002,0.07980959814712735
99,10279,28664.7058134,Manhattan,New York,0.0286647058134,0.011067500243965366
100,10280,2234113.99487,Manhattan,New York,2.23411399487,0.8625958816472967
101,10281,958087.21122,Manhattan,New York,0.9580872112200001,0.3699193884264645
102,10282,1561954.68329,Manhattan,New York,1.56195468329,0.6030738271276356
