geography,population,is_zipcode
11368,107060.0,True
11369,33354.0,True
11370,28762.0,True
11371,0.0,True
11372,66995.0,True
11373,99433.0,True
11374,46128.0,True
11375,75320.0,True
11377,83545.0,True
11378,37828.0,True
11379,37378.0,True
11385,103865.0,True
11411,20501.0,True
11412,41350.0,True
11413,45072.0,True
11414,31090.0,True
11415,21379.0,True
11416,26660.0,True
11417,30091.0,True
11418,36304.0,True
11419,46938.0,True
11420,50060.0,True
11421,41937.0,True
11422,33085.0,True
11423,29105.0,True
11424,0.0,True
11426,19638.0,True
11427,25124.0,True
11428,18898.0,True
11429,27933.0,True
11430,448.0,True
11432,63730.0,True
11433,37777.0,True
11434,67611.0,True
11435,58424.0,True
11436,21364.0,True
11439,2171.0,True
11451,0.0,True
11501,21590.0,True
11507,6581.0,True
11509,1747.0,True
11510,34814.0,True
11514,4421.0,True
11516,8733.0,True
11518,10390.0,True
11520,44873.0,True
11530,28041.0,True
11542,29020.0,True
11545,11963.0,True
11547,788.0,True
11548,2171.0,True
11549,2420.0,True
11550,60658.0,True
11552,26053.0,True
11553,28344.0,True
11554,35806.0,True
11556,0.0,True
11557,8503.0,True
11558,8532.0,True
11559,9130.0,True
11560,6951.0,True
11561,38847.0,True
11563,22558.0,True
11565,8908.0,True
11566,35172.0,True
11568,4198.0,True
11569,996.0,True
11570,28162.0,True
11572,30627.0,True
11575,19430.0,True
11576,12796.0,True
11577,12771.0,True
11579,5037.0,True
11580,42644.0,True
11581,22652.0,True
11590,48243.0,True
11596,10378.0,True
11598,14316.0,True
11691,68704.0,True
11692,23247.0,True
11693,13066.0,True
11694,21430.0,True
11697,4123.0,True
11701,28174.0,True
11702,14002.0,True
11703,17205.0,True
11704,40285.0,True
11705,8256.0,True
11706,68648.0,True
11709,6744.0,True
11710,34459.0,True
11713,9236.0,True
11714,22475.0,True
11715,3796.0,True
11716,9750.0,True
11717,,True
11718,3185.0,True
11719,3300.0,True
11720,28669.0,True
11721,6620.0,True
11722,38443.0,True
11724,2956.0,True
11725,29050.0,True
11726,21940.0,True
11727,29393.0,True
11729,26647.0,True
11730,14376.0,True
11731,29891.0,True
11732,3546.0,True
11733,17403.0,True
11735,32778.0,True
11738,20246.0,True
11739,1191.0,True
11740,10699.0,True
11741,26356.0,True
11742,13194.0,True
11743,42423.0,True
11746,66883.0,True
11747,19826.0,True
11749,3581.0,True
11751,13152.0,True
11752,8990.0,True
11753,12729.0,True
11754,17660.0,True
11755,11953.0,True
11756,42553.0,True
11757,44571.0,True
11758,54741.0,True
11762,22447.0,True
11763,30235.0,True
11764,12530.0,True
11765,808.0,True
11766,11481.0,True
11767,14495.0,True
11768,21908.0,True
