zip_code,total_population,male_population,female_population,age_under_18,age_18_to_44,age_45_plus,race_white,race_native_american,race_asian,pop_25_over,pct_bachelors_plus_25_over,count_bachelors_plus_25_over,pop_18_24,pct_bachelor_and_over_18_24,count_bachelors_plus_18_24,shape_area,borough,PO_NAME,area_sqkm,area_sqmi,population_density,Education Index,Median_Household_Income,bus_stop_count,subway_count,total_stores
10022,34340.0,15862.0,18478.0,4125.4,12570.6,7786.0,26374.0,27.0,4026.0,29095.0,83.6,24323.0,1300.0,60.1,781.0,12728335.6232,Manhattan,New York,12.7283356232,4.914435840788766,2697.917545276565,143.7,18627.0,85.0,4.0,38.0
10023,67468.0,30977.0,36491.0,11079.6,23829.4,18199.0,45595.0,99.0,10948.0,53645.0,84.3,45223.0,3853.0,25.8,994.0,15212712.6783,Manhattan,New York,15.2127126783,5.873658790516987,4434.9749730197,110.1,36881.0,73.0,5.0,33.0
10024,62576.0,29396.0,33180.0,10550.2,20862.8,17540.0,50685.0,51.0,2973.0,50060.0,84.2,42151.0,2053.0,44.3,909.0,22877335.4506,Manhattan,New York,22.877335450599997,8.83298497214756,2735.2835794676794,128.5,29447.0,74.0,4.0,34.0
10025,93223.0,43590.0,49633.0,13863.6,37390.4,21311.0,53927.0,111.0,9406.0,70984.0,68.8,48837.0,9447.0,36.9,3486.0,19631043.8226,Manhattan,New York,19.6310438226,7.579585281993505,4748.754108157925,105.69999999999999,41029.0,92.0,6.0,67.0
10026,37113.0,17603.0,19510.0,7086.2,16315.8,9786.0,9819.0,29.0,2369.0,27341.0,53.5,14627.0,2765.0,22.2,614.0,11092681.4885,Manhattan,New York,11.0926814885,4.282906508072827,3345.719431183143,75.7,15537.0,44.0,4.0,37.0
10027,65068.0,31553.0,33515.0,14587.0,29343.0,13868.0,19634.0,375.0,6669.0,42572.0,51.8,22052.0,10868.0,21.6,2347.0,24695278.5688,Manhattan,New York,24.6952785688,9.534896445970816,2634.835635432227,73.4,24509.0,122.0,3.0,72.0
10028,45679.0,20442.0,25237.0,6526.2,17539.8,10996.0,38602.0,9.0,3177.0,37523.0,83.2,31219.0,1883.0,43.5,819.0,9842046.47962,Manhattan,New York,9.84204647962,3.8000338298742418,4641.209538543417,126.7,24901.0,32.0,2.0,40.0
10029,74848.0,32614.0,42234.0,14962.0,29520.0,17744.0,15835.0,411.0,8940.0,54112.0,35.7,19318.0,6643.0,21.6,1435.0,22963435.6768,Manhattan,New York,22.9634356768,8.866228441683834,3259.4425787783607,57.300000000000004,33098.0,68.0,4.0,144.0
10030,30781.0,14515.0,16266.0,6070.6,12506.4,8115.0,4659.0,107.0,1521.0,22234.0,34.9,7760.0,2570.0,20.8,535.0,7757661.45487,Manhattan,New York,7.757661454869999,2.9952486030482164,3967.8194490785263,55.7,13180.0,41.0,2.0,33.0
10031,60305.0,29794.0,30511.0,9445.0,28164.0,14553.0,12743.0,351.0,2621.0,47341.0,40.8,19315.0,3820.0,33.9,1295.0,16902152.3658,Manhattan,New York,16.9021523658,6.525954832740111,3567.888792791964,74.69999999999999,21991.0,91.0,4.0,89.0
10032,55579.0,26596.0,28983.0,7800.2,24562.8,13002.0,12018.0,268.0,2789.0,42647.0,39.8,16974.0,5593.0,26.6,1488.0,23159566.0919,Manhattan,New York,23.159566091899997,8.941954787214772,2399.829071902976,66.4,21359.0,99.0,5.0,74.0
10033,53611.0,26985.0,26626.0,9300.6,23427.4,13349.0,17974.0,1162.0,1817.0,39698.0,41.3,16395.0,4976.0,22.1,1100.0,16156054.1726,Manhattan,New York,16.156054172599998,6.2378848281492045,3318.3226193263235,63.4,19747.0,74.0,3.0,78.0
10034,39037.0,18540.0,20497.0,7379.6,15694.4,10228.0,10488.0,885.0,1265.0,29329.0,39.2,11497.0,2370.0,19.6,465.0,24503892.12,Manhattan,New York,24.50389212,9.46100175531624,1593.0938566342334,58.800000000000004,15462.0,24.0,3.0,42.0
