store_name,square_footage,operation_type,georeference,Zip_Code_Clean
GAZA DELI & GRILL,1200.0,Store,POINT (-73.918519669 40.7355821),11377
LETS EAT,2200.0,Store,POINT (-73.936429198 40.795666264),10029
99 CENT DREAMS,,Store,POINT (-73.889128831 40.818809116),10474
DAFU GROCERY,,Store,POINT (-74.004362009 40.640743925),11220
DOLLAR TREE #09508,,Store,POINT (-73.982366805 40.689607025),11201
LUCKY 7 BAGEL AND GRILL,2000.0,Store,POINT (-73.955104833 40.598861398),11229
LOVE DELI AND GROCERY,,Store,POINT (-73.925278082 40.740119601),11104
SANTOS GOURMET DELI AND GROCERY,1100.0,Store,POINT (-73.929629798 40.863162503),10040
BAYSIDE BAGELS & DELI,3000.0,Store,POINT (-73.789783946 40.766692371),11358
A JESS COOKIE,,Store,POINT (-73.875113397 40.681156684),11208
579 BREAD AND BUTTER,1500.0,Store,POINT (-73.9495079 40.762635698),10044
SAM SPOLEM FAMILY,,Store,POINT (-73.901839849 40.704819383),11385
FOODSIDE MARKET,1750.0,Store,POINT (-73.912634064 40.744376267),11377
3001 PLAZA LIBRE FOOD,1200.0,Store,POINT (-73.902247378 40.875698142),10463
K & H GRILL,2000.0,Store,POINT (-73.954057514 40.610366105),11229
FRESH & TASTY SUSHI,30.0,Store,POINT (-73.891833869 40.860365043),10458
PARTNERS IN CHOCOLATE,,Store,POINT (-74.000717725 40.726210294),10012
JBD MINI MARKET,1700.0,Store,POINT (-73.948740202 40.644549937),11226
CHULAMEX,,Store,POINT (-73.864669545 40.879833061),10467
27 & 7 DELI GROCERY,800.0,Store,POINT (-73.753256534 40.707008737),11412
EAST SIDE CONVENIENCE,1800.0,Store,POINT (-73.947582326 40.779000651),10128
4317 GROCERY,,Store,POINT (-74.0133144 40.6414317),11220
VARENYK HOUSE,400.0,Store,POINT (-73.956460438 40.578062083),11235
ROYALE SWEETS & SUPPLIES,500.0,Store,POINT (-73.822538999 40.676532388),11420
LUSCIOUS MARKET DELI,2500.0,Store,POINT (-73.989348679 40.726007368),10003
CITYLINE PHARMACY,2000.0,Store,POINT (-73.974160419 40.638549165),11218
TORIBIO GROCERY STORE,,Store,POINT (-73.954042845 40.71044297),11211
FREEMAN DEL GROCERY,,Store,POINT (-73.895817428 40.83044508),10459
BROOKLYN FARE,,Store,POINT (-73.991059928 40.7108883),10002
SOHO DELI GROCERY T,,Store,POINT (-74.004969277 40.721385335),10013
MEXICAN CULTURE DELI GROCERY GROUP,,Store,POINT (-73.940440358 40.834762101),10032
ULISESS BUTCHER SHOP NY,,Store,POINT (-73.898409891 40.817435533),10459
CHURCH OF JESUS CHRIST OF LATTER-DAY SAI,,Store,POINT (-73.928536379 40.866368791),10034
HEALTH PLUS SPECIALTY PHARMACY,,Store,POINT (-73.914271961 40.814647862),10455
LEMONS & OLIVE,,Store,POINT (-73.963682537 40.671349648),11238
LUCKY 4216 GROCERY,,Store,POINT (-73.999531769 40.645337124),11232
ANDY PHARMACY,,Store,POINT (-73.945172361 40.833215597),10032
HOUSE OF IBERICO,,Store,POINT (-73.833076308 40.758705256),11354
DEERS GINSENG,,Store,POINT (-73.830551092 40.758628645),11354
2000 NINOS PHARMACY,,Store,POINT (-73.947826323 40.83047262),10031
JURY MARKET 1,,Store,POINT (-73.954814316 40.687118564),11216
ALEXANDERS MINI MART,,Store,POINT (-73.961029916 40.761228837),10065
YEMZ DELI & FOOD MARKET,3000.0,Store,POINT (-73.959462249 40.608133041),11229
ASIAN TASTE STORE,,Store,POINT (-73.878629773 40.742184734),11373
LENOX DELI BITES,,Store,POINT (-73.939248619 40.654698871),11203
CRUNCH-N,800.0,Store,POINT (-74.005652654 40.621830663),11228
HONEST KING DELI GROCERY,1800.0,Store,POINT (-73.866311896 40.840233807),10460
ASIAN YANG SUPERMARKET,3000.0,Store,POINT (-74.086836583 40.594570325),10305
KING CAPITAL DELI GROCERY,,Store,POINT (-73.915722125 40.655701808),11212
MCGREENLAND DELI AND GROCERY,1000.0,Store,POINT (-73.952038397 40.733902366),11222
RODRIGUES KITCHEN,,Store,POINT (-73.98301833 40.719884471),10002
BELLOS AMERICAN,1800.0,Store,POINT (-73.901887626 40.644926285),11236
EXPRESS STAR DELI,,Store,POINT (-73.741907605 40.716989739),11428
WB SEAFOOD,,Store,POINT (-74.075945389 40.631587282),10304
PERA PRODUCE & MEAT MARKET,2000.0,Store,POINT (-73.939145605 40.84432053),10032
WB SEAFOOD,,Store,POINT (-73.900141508 40.824936121),10459
874 MINI MARKET,1000.0,Store,POINT (-73.937750437 40.698229196),11206
24K DELI,1800.0,Store,POINT (-73.957839931 40.645059473),11226
61 ST GREEN APPLE DELI,,Store,POINT (-73.904269679 40.722045871),11378
