store_name,square_footage,operation_type,georeference,Zip_Code_Clean
DOLLAR TREE # 07519,,Store,POINT (-73.899286973 40.659742304),11207
RS DELI,,Store,POINT (-73.908471695 40.76630605),11103
7-ELEVEN STORE #35050C,,Store,POINT (-73.911363955 40.775376861),11105
FRESH BITES AND JUICE BAR,1400.0,Store,POINT (-73.953532136 40.775132361),10028
MB BROOKLYN GROCERY,,Store,POINT (-73.957648824 40.663265386),11225
FOOD UNIVERSE MARKETPLACE,8000.0,Store,POINT (-73.906269182 40.859089401),10453
DUKES DELI,,Store,POINT (-73.963144754 40.79916948),10025
ESSENTIALS BY HEALTHYHO,800.0,Store,POINT (-73.814823038 40.826886632),10465
KOSHER VALET,1000.0,Store,POINT (-73.972535252 40.60532175),11223
JULIEN BOULANGERIE,750.0,Store,POINT (-73.980057591 40.677249166),11217
WISON DELI,1000.0,Store,POINT (-73.90793123 40.685841665),11207
RRR GOURMET & GRILL,1000.0,Store,POINT (-73.894197146 40.666171266),11207
NEW YORK FRUIT KING,3000.0,Store,POINT (-73.958015532 40.609003459),11229
ONE DOLLAR ZONE,,Store,POINT (-73.903216409 40.881476878),10463
ALBEES HALAL GROCERY,600.0,Store,POINT (-73.857109606 40.833673957),10462
FRIENDLY 88 GROCERY,,Store,POINT (-73.875362256 40.75103967),11372
PASION MEXICANA,,Store,POINT (-73.894964258 40.726305847),11378
JOHARA PRODUCE,,Store,POINT (-73.872836453 40.878631389),10467
SAMEE DELI GROCERY,2200.0,Store,POINT (-73.937239644 40.809966294),10037
OK SUPERMARKET,3000.0,Store,POINT (-74.001449213 40.622820063),11219
QUICK STOP DELICATESSEN,1200.0,Store,POINT (-74.239601127 40.527968728),10309
SUNSHINE SUPERMARKET,,Store,POINT (-73.831128103 40.888865106),10466
WINGTOP TRADING,,Store,POINT (-74.007693647 40.631465409),11219
1665 JUSTIN DELI & GROCERY,1200.0,Store,POINT (-73.905995597 40.843465072),10457
SKY HIGH SMOKE & SNACK,500.0,Store,POINT (-74.148560667 40.62555139),10303
NEW JERSEY GOURMET DELI,,Store,POINT (-73.895955586 40.6773039),11207
JEHOVA JIREH DELI GROCERY,,Store,POINT (-74.005898328 40.621982208),11228
EMDAD SUPERMARKET,1000.0,Store,POINT (-73.86464222 40.678900192),11208
JOY FRUIT,,Store,POINT (-73.835942752 40.707308767),11418
PANCHO'S BAGELS DELI CORP,1000.0,Store,POINT (-74.013459223 40.645345254),11220
KANAVI DELI & GROCERY,1000.0,Store,POINT (-73.889146798 40.664032875),11207
PLAZA BAGELS & DELI,1500.0,Store,POINT (-74.117877369 40.573469177),10306
CANDY LAND LOS MEZAS,1500.0,Store,POINT (-74.085699494 40.62028965),10304
ADYEL DELI,1900.0,Store,POINT (-73.879345671 40.834038868),10472
ANNERYS DELI,2000.0,Store,POINT (-73.885899984 40.850561401),10457
PACE GOURMET DELI,2000.0,Store,POINT (-74.006843639 40.710896179),10038
1681 GROCERY,1000.0,Store,POINT (-73.846994998 40.887918513),10466
EASTERN DISTRICT,950.0,Store,POINT (-73.977932275 40.680369037),11217
JEWEL CONVENIENCE,1200.0,Store,POINT (-73.823917906 40.730443616),11367
LONG XIANG MINI MARKET,1500.0,Store,POINT (-74.008446426 40.612241514),11228
WILD EAST BREWING CO,7000.0,Store,POINT (-73.983488974 40.678508338),11217
JTC TRADING,200.0,Store,POINT (-73.828298791 40.757969325),11355
SOBRO PHARMACY,,Store,POINT (-73.926648187 40.811193195),10454
KING FRUITS,1000.0,Store,POINT (-73.99115171 40.617978634),11204
PLEASANT FOOD,1000.0,Store,POINT (-73.932406806 40.795778833),10035
BUZZANCAS BAKERY,1200.0,Store,POINT (-73.876480066 40.749079814),11372
ABASTOS,600.0,Store,POINT (-73.941239572 40.798914922),10035
JUICE PRESS 40,8000.0,Store,POINT (-73.995253646 40.752786501),10001
FOUR STAR DELI NY,1000.0,Store,POINT (-74.136537581 40.62867038),10302
JUICE PRESS EQ28,,Store,POINT (-73.966376062 40.764477705),10065
FOOD LINE DELI GROCERY,1000.0,Store,POINT (-73.743633942 40.696696733),11411
HASNAT GROCERY & HALAL MEAT,2000.0,Store,POINT (-74.00502552 40.604797839),11214
31 NAH CANDY,,Store,POINT (-73.951824398 40.799335506),10026
OLABISIFARUK ENTERPRISES,,Store,POINT (-73.893832785 40.66164902),11207
HENG GROCERY,900.0,Store,POINT (-73.828796425 40.75862764),11355
MAGIC 7 STORE,950.0,Store,POINT (-73.908674118 40.862604268),10468
ANN 8TH AVE GROCERY STORE,800.0,Store,POINT (-74.002514972 40.642071115),11220
WILLETS POINT SERVICE STATION AND CONVEN,850.0,Store,POINT (-73.805070191 40.778644965),11357
TOTAL CARE DISCOUNT,,Store,POINT (-73.861017383 40.831931741),10472
W CONVENIENCE STORE,800.0,Store,POINT (-73.846734033 40.836969139),10461
SR MANGO HOUSE,,Store,POINT (-73.928848102 40.652224156),11203
EZ DELI,1000.0,Store,POINT (-73.889995634 40.668445863),11207
BOLLA MARKET,1000.0,Store,POINT (-73.817462918 40.717276107),11367
NEW SEAFOOD,600.0,Store,POINT (-73.977876536 40.65666074),11215
R&E DELI,,Store,POINT (-73.921024517 40.697912486),11237
GOWANUS CONVENIENCE,1300.0,Store,POINT (-73.987832309 40.671752608),11215
ANGEL'S COFFEE DELI GROCERY,1100.0,Store,POINT (-73.902675609 40.851534666),10457
LITTLE TULCINGO,,Store,POINT (-73.88059382 40.828320985),10472
MOLINA MINI MARKET,,Store,POINT (-73.916040386 40.835785321),10456
BEST DAY & NIGHT DELI GROCERY,,Store,POINT (-73.899447734 40.813874429),10455
RAYMOND DELI & GROCERY,1200.0,Store,POINT (-73.918501564 40.809105472),10454
SI CONVENIENCE,2000.0,Store,POINT (-74.107555558 40.630236161),10310
388 FAMILY DELI TOBACCO,,Store,POINT (-73.912259058 40.834948807),10456
STAR NB,,Store,POINT (-73.955992728 40.640652604),11226
N-DEEN DELI,1000.0,Store,POINT (-73.901609766 40.831731121),10456
ARIF 99 C SUPERIOR MARKET,2000.0,Store,POINT (-73.952469478 40.652224282),11226
192 STATION MART,4500.0,Store,POINT (-73.789761902 40.76121748),11358
THRIFTWAY PHARMACY,2000.0,Store,POINT (-73.95416782 40.610596859),11229
L'ETERNEL EST GRAND,,Store,POINT (-73.948371961 40.638741504),11226
ELMANA DELI & GROCERY,1400.0,Store,POINT (-74.008263868 40.60805907),11214
87 FRESH DELI & GROCERY MARKET,700.0,Store,POINT (-74.027021562 40.621132283),11209
SUNDARBAN HALAL MEAT & FISH,,Store,POINT (-73.854179845 40.834835358),10462
WIN 4 LIFE DELI & GROCERY,800.0,Store,POINT (-73.950248945 40.594390449),11229
ZMM DELI & SMOKE SHOP,800.0,Store,POINT (-73.859301607 40.878083464),10469
LA GRAN TIENDITA,600.0,Store,POINT (-73.899372301 40.723960298),11378
BIRDSBORO,1000.0,Store,POINT (-73.999672418 40.628704578),11219
VALENTINA DELI & GROCERY,,Store,POINT (-73.879801563 40.683768443),11208
G & D DELI & GROCERY,900.0,Store,POINT (-73.91339774 40.707524224),11385
PURE NATURAL ORGANIC MARKET,,Store,POINT (-73.925210691 40.772119486),11102
141 GROCERY & DELI,1000.0,Store,POINT (-73.924408962 40.812392519),10451
BOLLA 100-03 COHANCY C-STORE,3000.0,Store,POINT (-73.847520976 40.6705128),11417
SAVORY FOOD & GRILL,,Store,POINT (-73.945544685 40.828380874),10031
BOLLA 137-21 LIBERTY C-STORE,,Store,POINT (-73.810025069 40.6924386),11435
BOLLA 61-19 FRESH MEADOW C-STORE,3000.0,Store,POINT (-73.792831492 40.739471722),11365
4TH QUICK DELI,,Store,POINT (-74.014759592 40.64467487),11220
CITY ACRES MARKET,19000.0,Store,POINT (-73.943346972 40.751718396),11101
ADEE DELI & GROCERY,1200.0,Store,POINT (-73.866926121 40.869595907),10467
BAGELS BREAD & BUTTER,2000.0,Store,POINT (-74.113737463 40.629016343),10310
MOUNTAIN FRUIT OF AVE M,600.0,Store,POINT (-73.992308916 40.634648186),11219
MOUNTAIN FRUIT OF AVE M,600.0,Store,POINT (-73.994879394 40.63257006),11219
PIONEER,,Store,POINT (-73.924701071 40.666113557),11212
BEST DELI EMANUEL GROCERY,1500.0,Store,POINT (-73.994060566 40.608845586),11214
MARKET PLACE SUPERMARKET,15000.0,Store,POINT (-73.837489716 40.681940266),11417
RISAS BROADWAY DISCOUNT KING,1000.0,Store,POINT (-73.903756623 40.880718818),10463
9393 RD DELI,800.0,Store,POINT (-73.876424159 40.763007352),11369
FINEST DELI & GRILL,1000.0,Store,POINT (-74.01437218 40.644475087),11220
OAK SPOT DELI GROCERY,1500.0,Store,POINT (-73.919389962 40.633979477),11234
FREEDOM DELI PLUS,,Store,POINT (-73.941059445 40.831194176),10032
AUSTIN DELI & GROCERY,3500.0,Store,POINT (-73.854677227 40.723892656),11375
GARDEN MARKET DELI & GROCERY,1200.0,Store,POINT (-73.883717169 40.867662453),10458
WING FUNG,4000.0,Store,POINT (-73.884785443 40.738481903),11373
VINYL BEER,,Store,POINT (-73.95063468 40.786056496),10029
ECO FARMERS MARKET,2000.0,Store,POINT (-73.954493792 40.781241847),10128
7-ELEVEN STORE #39549B,,Store,POINT (-73.901983348 40.84668783),10457
V I P DELI & GRILL,1200.0,Store,POINT (-73.776714212 40.688215378),11434
E&K DELI MARKET,,Store,POINT (-73.8866189 40.664568353),11207
JUST DELIGHT FULL,800.0,Store,POINT (-73.839441308 40.657061113),11414
MAYA BED-STUY,500.0,Store,POINT (-73.944143399 40.687073008),11221
BRONX DELI GROCERY,1200.0,Store,POINT (-73.915757162 40.829176819),10456
PIONEER SUPERMARKET,85000.0,Store,POINT (-73.852218228 40.835331525),10462
B Q CONVENIENCE,,Store,POINT (-73.962752481 40.635683644),11226
SUPREME FOODS,1500.0,Store,POINT (-73.845930208 40.78410829),11356
SOFIA GOURMET,800.0,Store,POINT (-73.897291326 40.707554063),11385
MECHY'S GOURMET,,Store,POINT (-73.943598707 40.600183615),11229
FAMILIA FRUIT MARKET,1500.0,Store,POINT (-73.952706351 40.822889596),10031
GRAMEEN PLAZA 55,,Store,POINT (-73.909774746 40.744805294),11377
C TOWN SUPERMARKET,6000.0,Store,POINT (-73.792722474 40.683922335),11434
VODEGA DELI & GROCERY,2000.0,Store,POINT (-74.110065435 40.634832252),10310
PROMESA MEAT MARKET,2000.0,Store,POINT (-73.786986989 40.707705315),11432
KING SEAFOOD MARKET NY,900.0,Store,POINT (-73.850712587 40.834472296),10462
BRIGHTON 5TH DELI & JUICE BAR,1500.0,Store,POINT (-73.962199359 40.577287888),11235
JIMMY'S SNACK,1000.0,Store,POINT (-74.004179199 40.650822283),11232
C-TOWN SUPERMARKET,7300.0,Store,POINT (-73.94968149 40.812536143),10027
EDIBLE ARRANGEMENTS,900.0,Store,POINT (-73.855150972 40.854730392),10461
GARDEN GOURMET 1,1500.0,Store,POINT (-73.944731808 40.686771721),11216
FINBACK,6000.0,Store,POINT (-73.87320006 40.706617427),11385
FINBACK BROOKLYN,6500.0,Store,POINT (-73.984819517 40.677422672),11215
IL FORNAIO BAKERY,3000.0,Store,POINT (-73.919353333 40.76580544),11103
ACATLAN DE OSORIO DELI GROCERY,1000.0,Store,POINT (-73.964368763 40.634882921),11230
ASIA MARKET,2200.0,Store,POINT (-73.999270953 40.716120523),10013
DSH FOOD,,Store,POINT (-73.929690148 40.706088487),11237
1 WAY JUICE BAR DELI,1000.0,Store,POINT (-73.834320602 40.698419256),11418
STOP 1,2000.0,Store,POINT (-73.859678709 40.752162049),11368
PARADISE MARKETS PLACE,1600.0,Store,POINT (-74.003396329 40.7484562),10001
BROOKLYN FINEST MINI MARKET,,Store,POINT (-74.019617743 40.62188372),11228
TONY'S MINI MARKET,,Store,POINT (-73.91051755 40.819050055),10455
HEAVENLY MARKET & DELI,1800.0,Store,POINT (-73.988125592 40.731605138),10003
ADEN DELI & GRILL,,Store,POINT (-73.934607313 40.698542586),11206
FLAVORS NYC,2200.0,Store,POINT (-73.954949683 40.768956659),10021
MASALA HABIBI,,Store,POINT (-73.934880474 40.758856591),11106
CHOPPED CHEESE,1000.0,Store,POINT (-73.945406803 40.807450926),10027
EDIBLE ARRANGEMENTS 707,1.0,Store,POINT (-73.756694539 40.666702218),11413
MAMI DELI& MINI MARKET,,Store,POINT (-73.953208595 40.659366334),11225
29 E 104TH ST RETAIL,,Store,POINT (-73.950823273 40.792574892),10029
2033 1ST AVE DELI,2000.0,Store,POINT (-73.940820058 40.788912168),10029
SWEET APPLE DELI GROCERY,900.0,Store,POINT (-73.917352238 40.817662515),10455
LA IDEAL MEAT MARKET,900.0,Store,POINT (-74.00922083 40.645976034),11220
SSS M DELI & GROCERY,1000.0,Store,POINT (-73.892168223 40.856547673),10458
FIFTH HAMMER BREWING COMPANY,5000.0,Store,POINT (-73.951519054 40.746547976),11101
ICONYC BREWING COMPANY,2000.0,Store,POINT (-73.948941787 40.750215813),11101
UNION MARKET SUSHI,,Store,POINT (-73.971916667 40.676118322),11238
SHOP FAIR,10000.0,Store,POINT (-73.935936593 40.846615243),10033
KF DELI,,Store,POINT (-73.80038982 40.674428111),11436
NOBLE FACTORY,,Store,POINT (-73.900394306 40.823148429),10459
7-ELEVEN STORE #41120H,,Store,POINT (-73.9911528 40.689468305),11201
EBEN-EZER CONVENIENCE STORE,,Store,POINT (-73.992284943 40.641727331),11219
BLISSBOMB,,Store,POINT (-73.993227321 40.75550362),10018
SANTOS H DELI GROCERY,1500.0,Store,POINT (-73.86895362 40.671740328),11208
LOS LIMONES,,Store,POINT (-73.906538493 40.694422094),11237
KING WEST DELI,1000.0,Store,POINT (-73.962820374 40.796559775),10025
LA DURA MINI MARKET,,Store,POINT (-73.891553662 40.68075012),11207
S SNACKS DELI & GRILL,800.0,Store,POINT (-73.94190015 40.605048877),11229
DOLLY'S 1ST CUT MEAT MARKET INC,512.0,Store,POINT (-73.938519806 40.822120421),10039
VARENYK HOUSE,950.0,Store,POINT (-73.89657241 40.705435495),11385
STOP & GO CONVENIENCE,,Store,POINT (-73.827572835 40.754151033),11355
BJS WHOLESALE CLUB,50000.0,Store,POINT (-73.916314642 40.752309235),11101
SAINT ALBANS DELI,1600.0,Store,POINT (-73.76845854 40.703635984),11412
FRUTERIA & GROCERY,1000.0,Store,POINT (-73.865857932 40.691632009),11421
Z DELI & GRILL I,1500.0,Store,POINT (-73.960157695 40.587459286),11235
7-ELEVEN STORE #34655B,,Store,POINT (-73.860935324 40.729930895),11374
KAJ FOOD MARKET,,Store,POINT (-74.021417924 40.645266632),11220
YORK GRILL & JUICE BAR,1200.0,Store,POINT (-73.955639598 40.766043738),10021
DOMINICANO DELI,800.0,Store,POINT (-73.848887009 40.898498092),10466
3960 GRAB & GO,1000.0,Store,POINT (-73.860505248 40.887362943),10466
FISH GUYS SEAFOOD MARKET,2000.0,Store,POINT (-73.790317622 40.707175788),11432
PREMIUM SUPERMARKET,,Store,POINT (-73.891147559 40.748922611),11372
SAXELBY CHEESEMONGERS,2200.0,Store,POINT (-73.992717869 40.670727711),11215
YAYA DELI AND GROCERY,950.0,Store,POINT (-73.914279851 40.823719614),10451
FLUSHING FOOD MARKET,1200.0,Store,POINT (-73.806606174 40.753798196),11358
512 NOSTRAND,,Store,POINT (-73.949922805 40.681351689),11216
RAMALLAH FOOD,900.0,Store,POINT (-74.006417 40.676924158),11231
NEW SEAFOOD,,Store,POINT (-73.918575996 40.742871464),11104
PIZZA YARD,800.0,Store,POINT (-73.971195404 40.698121363),11205
BEEZY BEEZ HONEY,,Store,POINT (-74.181585281 40.598185356),10314
NETCOST MARKET,,Store,POINT (-73.972982845 40.579614244),11224
H&B FRESH PRODUCE,2000.0,Store,POINT (-73.880709491 40.882193321),10467
RAHMAN NATURAL FOOD,2000.0,Store,POINT (-73.860763746 40.692230771),11421
LITTLE NECK SUPERMARKET 01/01/21,8500.0,Store,POINT (-73.726029873 40.764199512),11362
MOMMY SHOP,1000.0,Store,POINT (-73.904194158 40.700257616),11385
LITO DELI GROCERY,1100.0,Store,POINT (-73.901832374 40.847608337),10457
GOLD COAST TRADING CO,,Store,POINT (-73.909816823 40.829103771),10456
CHANG S MEAT MARKET,,Store,POINT (-73.814790013 40.75569741),11355
CLARY DELI GROCERY,1200.0,Store,POINT (-73.874857078 40.686671096),11208
JUNCTION SMOKE,2000.0,Store,POINT (-73.869126371 40.748501881),11368
SAQR DELI GROCERY,,Store,POINT (-73.908464151 40.853700717),10453
OCEAN PARK MARKET,2000.0,Store,POINT (-73.751817529 40.594845922),11691
KARAM SERVICE STATION,800.0,Store,POINT (-73.868829149 40.856438079),10462
NYC ORGANIC DELI,1800.0,Store,POINT (-73.954610803 40.820307215),10031
GN CONVENIENCE STORE,1000.0,Store,POINT (-73.775854564 40.7584525),11361
GREEN VILLAGE MEAT MARKET,1500.0,Store,POINT (-73.75302335 40.604083156),11691
NADAL'S DELI,,Store,POINT (-73.95399423 40.822047298),10031
YIN GONG,,Store,POINT (-73.993533428 40.714887348),10002
PRESPYTERIAN DELI,2000.0,Store,POINT (-73.940145901 40.837981967),10032
SATMAR MEAT,,Store,POINT (-73.956208059 40.695726946),11205
NEWKIRK FRUIT,,Store,POINT (-73.962589537 40.63480191),11226
HARLEM MINI PRODUCE,1600.0,Store,POINT (-73.939096068 40.791259394),10029
AMAZING GRACE GROCERY,,Store,POINT (-73.89639815 40.74582357),11377
LOS PRIMOS PRODUCES,2000.0,Store,POINT (-73.904738395 40.700553162),11385
BLUEFIN FISH,1000.0,Store,POINT (-73.951860847 40.799286318),10026
SIDEBOARD,700.0,Store,POINT (-73.989495697 40.673532547),11215
WESTERN BEEF,20000.0,Store,POINT (-73.865373374 40.880033807),10467
ORK AMBE DELI,1900.0,Store,POINT (-73.94663559 40.776905637),10128
SUNNY GROCERY & GRILL,1000.0,Store,POINT (-73.901380437 40.714693643),11378
DK DELI,4000.0,Store,POINT (-73.768447728 40.766038457),11361
FELIX GOURMET,2000.0,Store,POINT (-73.943655988 40.810033009),10027
GOURMET FAMOUS MARKET,,Store,POINT (-73.961485472 40.654877657),11226
FLATBUSH MARKET,,Store,POINT (-73.959795178 40.654470381),11226
LA MILAGROSA GROCERY,1800.0,Store,POINT (-73.922275684 40.831808444),10452
HOWARD FINEST DELI,1200.0,Store,POINT (-73.919261049 40.675082947),11233
BETWEEN THE BUN DELI,1700.0,Store,POINT (-73.937654213 40.804655604),10035
BLUE SKY,1800.0,Store,POINT (-73.938444124 40.7921664),10029
CLARKSON DELI,3000.0,Store,POINT (-73.927770776 40.656710025),11203
HOOD GROCERY AND DELI,1200.0,Store,POINT (-73.956588848 40.642924393),11226
2924 AVENUE M DELI LTD,,Store,POINT (-73.945742666 40.619461644),11210
71 DELI & GRILL,,Store,POINT (-73.99923505 40.618892974),11228
KITCHEN KOREA,300.0,Store,POINT (-73.926380588 40.769224165),11102
CC MART,,Store,POINT (-73.949128871 40.650725011),11226
KIKKA @WHOLE FOODS MANHATTAN WEST,300.0,Store,POINT (-73.998805645 40.753446073),10001
MINI MART,1000.0,Store,POINT (-73.866618589 40.759522072),11369
MONTAUK DELI,1500.0,Store,POINT (-73.878158039 40.674384735),11208
MULTISYSTEM 99 CNTS STORE,1500.0,Store,POINT (-73.946605499 40.789249456),10029
764 YEMEN DELI,,Store,POINT (-73.95279654 40.652245698),11226
BIG APPLE 20 DELI AND GRILL,1500.0,Store,POINT (-73.945769572 40.711598709),11211
WEST VILLAGE FOOD MARKET PLACE,1800.0,Store,POINT (-74.004909598 40.737664039),10014
FOOD UNIVERSE,,Store,POINT (-73.867560296 40.852962523),10462
RAFAEL MINI DELI GROCERY,1100.0,Store,POINT (-74.00120421 40.646787067),11232
PARK VIEW MARKET,,Store,POINT (-73.957748066 40.801480329),10026
G&K DELI GROCERY,1000.0,Store,POINT (-73.870211408 40.839035572),10460
BEBE MINI MARKET,1000.0,Store,POINT (-73.845219591 40.783137917),11356
FRESH DELI MARKET,500.0,Store,POINT (-73.893515781 40.659356988),11207
HETMAN DELI,1000.0,Store,POINT (-73.850764052 40.694037364),11421
DOLLAR DEALS,6000.0,Store,POINT (-73.902979453 40.645569135),11236
FJORD FISH MARKET,1250.0,Store,POINT (-73.981415459 40.674821684),11215
CHECHE DELI GROCERY,1200.0,Store,POINT (-73.936367759 40.651590484),11203
HERNANDEZ DELI,1000.0,Store,POINT (-73.9402003 40.708890222),11206
GDM DELI GROCERY,600.0,Store,POINT (-73.899468693 40.82435513),10459
CANTIFLAS MEXICAN DELI,,Store,POINT (-73.945005813 40.79143948),10029
JEHOVA NISSI DELI & GROCERY,1100.0,Store,POINT (-73.995328664 40.613830388),11204
GATES BROTHER DELI,1000.0,Store,POINT (-73.950988396 40.686282595),11216
MI-NE,,Store,POINT (-73.997390947 40.736306589),10011
KINGHER GOURMET DELI & GROCERY,1000.0,Store,POINT (-73.767570813 40.709614461),11423
PENN GAS & LUBE,500.0,Store,POINT (-73.88719876 40.652872245),11207
MR EAST DELI,700.0,Store,POINT (-73.895467591 40.669454919),11207
FOOD TOWN,8000.0,Store,POINT (-73.985373142 40.670075598),11215
E & H SEAFOOD & MEAT MARKET,21000.0,Store,POINT (-73.953088314 40.599330617),11229
ASSOCIATED FRESH MARKET,3000.0,Store,POINT (-73.949443276 40.793966791),10029
ROBERT MEAT MARKET,,Store,POINT (-73.951583344 40.587360547),11235
BUTTERFIELD MARKET MADISON,,Store,POINT (-73.959083387 40.780744129),10028
ANTILLANA 167 FRUIT&VEGETABLES,3000.0,Store,POINT (-73.916332914 40.833797888),10456
PRIME NOW,180000.0,Store,POINT (-73.896408125 40.812155647),10474
M & M GROCERY,,Store,POINT (-73.948621682 40.640495108),11226
RIVERSIDE MARKET,1800.0,Store,POINT (-73.958597152 40.736549916),11222
DASANYUAN GROCERY,,Store,POINT (-74.009647888 40.642117635),11220
LUCKY SPOT CONVENIENCE,,Store,POINT (-73.883768131 40.880752597),10467
LOPEZ FAMILY DELI,300.0,Store,POINT (-73.861230534 40.816476769),10473
HAVANA DELI,150.0,Store,POINT (-73.886422261 40.814796826),10474
FIRST CLASS DELI AND GRILL,1600.0,Store,POINT (-73.810903073 40.675064423),11420
JUS BY JULIE,1500.0,Store,POINT (-73.966678816 40.597585757),11223
ZHONGHUA SHENRONG,200.0,Store,POINT (-73.82879148 40.760027711),11354
LOS PAISAS DELI GROCERY,1500.0,Store,POINT (-73.864465698 40.745582213),11368
M&T GROCERY,1500.0,Store,POINT (-73.879644486 40.740493434),11373
MOMMY JAMAICAN MARKET 1,2000.0,Store,POINT (-73.865881401 40.877634613),10467
FOOD WORLD SUPERMARKET,10000.0,Store,POINT (-73.892392621 40.647725983),11236
QUEENS FOOD MARKET,700.0,Store,POINT (-73.894048619 40.747674001),11372
EVERGREEN MOE,,Store,POINT (-73.944137112 40.83609453),10032
BANANA SUPERMARKET,1400.0,Store,POINT (-73.883308719 40.683158576),11208
JALAPENO DELI,1500.0,Store,POINT (-73.947698415 40.790069416),10029
JL MINI MARKET,900.0,Store,POINT (-73.919552571 40.679921778),11233
SEA FRESH COMPANY,1000.0,Store,POINT (-73.997693869 40.659252801),11232
EDIBLE ARRANGEMENTS,,Store,POINT (-73.898698815 40.8208582),10459
89 GOURMET DELI,2000.0,Store,POINT (-73.855375859 40.692636748),11421
DITMARS GOURMET,,Store,POINT (-73.919420724 40.74354956),11104
TWO BROTHERS DELI,1000.0,Store,POINT (-73.833841995 40.683517196),11417
AMIRA HALAL MEAT,3000.0,Store,POINT (-73.977487364 40.617204481),11204
BADRAN HALAL MEAT,3000.0,Store,POINT (-74.00750363 40.604396807),11214
J.W. TRADING,1800.0,Store,POINT (-73.996404481 40.718920762),10013
CALI FRESH MARKET,1000.0,Store,POINT (-73.863627507 40.845905086),10462
BROOKDALE GOURMET DELI,1000.0,Store,POINT (-73.914050941 40.657231547),11212
688 DELI GROCERY,1000.0,Store,POINT (-73.950153139 40.675054617),11216
STOP & SHOP 2570,60000.0,Store,POINT (-73.738403802 40.637553395),11422
1781 LEX GROCERY,1800.0,Store,POINT (-73.944099561 40.795003465),10029
C-TOWN,7500.0,Store,POINT (-73.73630665 40.713708685),11429
BROADWAY FAMILY MARKET,500.0,Store,POINT (-73.967943477 40.802916149),10025
ADEN GROCERY,800.0,Store,POINT (-73.918483693 40.814935415),10455
ABDO GOURMET DELI,2000.0,Store,POINT (-73.938880653 40.68596161),11221
RIG FISH MARKET,,Store,POINT (-73.857683816 40.892455033),10466
PEARL STREET CAVIER,2800.0,Store,POINT (-74.008436619 40.680623888),11231
TATAN DELI GROCERY,1000.0,Store,POINT (-73.912415548 40.66033457),11212
RICHARDS DELI GROCERY,,Store,POINT (-73.918252035 40.839127899),10452
MY WAY DELI,500.0,Store,POINT (-74.08489458 40.614499725),10304
SHOPRITE OF HYLAN BLVD,76000.0,Store,POINT (-74.111505949 40.566396779),10306
BAHAGA AFRICAN MARKET,500.0,Store,POINT (-73.911483481 40.847109105),10453
BOB AND BETTY'S GOURMET,,Store,POINT (-73.958509226 40.669604242),11225
NUTS FACTORY,300.0,Store,POINT (-73.999672418 40.628704578),11219
BROOKLYN WAY DELI,,Store,POINT (-73.930770324 40.674032234),11213
COCOA DELI AND GROCERY,1000.0,Store,POINT (-73.94256693 40.690254611),11221
COLLADO MEAT MARKET,1300.0,Store,POINT (-73.92483032 40.690932288),11221
AN-NOOR PHARMACY,1600.0,Store,POINT (-73.863599512 40.679400424),11208
GRAPE GOURMET DELI,1000.0,Store,POINT (-73.949702612 40.679949858),11216
BROOKLYN HARVEST MARKET,9000.0,Store,POINT (-73.943098259 40.714782365),11211
JEROME SERVICE,700.0,Store,POINT (-73.890973718 40.872013541),10468
DESHI FOODS,,Store,POINT (-73.907084239 40.750378841),11377
D'BODEGA FOOD,1234.0,Store,POINT (-73.900332197 40.856153346),10457
SUSHI BLUE,20.0,Store,POINT (-73.945811984 40.620246777),11210
LAS AGUILAS DELI,1000.0,Store,POINT (-73.847848994 40.831075111),10462
PLAZA ORTEGA,2000.0,Store,POINT (-73.922689917 40.698223035),11221
BK GOURMET DELI,,Store,POINT (-73.951027875 40.66287064),11225
H MART,8000.0,Store,POINT (-73.820676288 40.764779118),11354
AMY DELI & GROCERY,1000.0,Store,POINT (-74.00789431 40.604782333),11214
WALGREENS #17269,,Store,POINT (-73.952100507 40.726613589),11222
DUANE READE # 21263,,Store,POINT (-73.985056474 40.757652405),10036
GUEVARA'S,1000.0,Store,POINT (-73.962876282 40.687940829),11238
HK FRUIT MARKET,,Store,POINT (-73.960423904 40.659950595),11225
HISSHO SUSHI@STOP&SHOP 2570,50.0,Store,POINT (-73.738403802 40.637553395),11422
WAN JIA GROCERY,1000.0,Store,POINT (-74.013121349 40.639160751),11220
FU SING TRADING,2500.0,Store,POINT (-73.958494223 40.598737053),11229
DL DELI GROCERY,1000.0,Store,POINT (-73.877186158 40.760293668),11369
TEN ICHI MART,1150.0,Store,POINT (-73.989930886 40.687736478),11201
49 ROSE GROCERY,,Store,POINT (-73.855513909 40.744764768),11368
GREAT NECK HEALTHY FOOD,1000.0,Store,POINT (-73.830885614 40.761442031),11354
FAMILY TRAORE HALAL MEAT MARKET,1000.0,Store,POINT (-73.89685706 40.84566373),10457
CENTRAL GOURMET DELI,1500.0,Store,POINT (-73.918716979 40.694297999),11221
ANA & ALEX MEXICAN DELI GROCERY,900.0,Store,POINT (-73.904105226 40.828171913),10456
ISSOWAZENA AFRICAN MARKET,1000.0,Store,POINT (-73.89511815 40.833939207),10460
SHUN LE,1100.0,Store,POINT (-73.996764903 40.711863325),10038
MINI FRUIT MARKET DELI,900.0,Store,POINT (-73.991842044 40.642019566),11219
