zip_code,Median_Household_Income
11704,12924.0
11705,2948.0
11706,19324.0
11709,2580.0
11710,11301.0
11713,3136.0
11714,7828.0
11715,1650.0
11716,3359.0
11718,1033.0
11719,1120.0
11720,8734.0
11721,2436.0
11722,9877.0
11724,977.0
11725,9189.0
11726,6102.0
11727,11266.0
11729,8661.0
11730,5070.0
11731,10717.0
11732,1465.0
11733,6073.0
11735,11167.0
11738,5585.0
11739,462.0
11740,3650.0
11741,8998.0
11742,4508.0
11743,15665.0
11746,21661.0
11747,7575.0
11749,1241.0
11751,5010.0
11752,3048.0
11753,3938.0
11754,6821.0
11755,4052.0
11756,13933.0
11757,14350.0
11758,18802.0
11762,7627.0
11763,9602.0
11764,4212.0
11765,255.0
11766,3863.0
11767,4898.0
11768,8213.0
11769,3357.0
11770,52.0
11771,3700.0
11772,17246.0
11776,8065.0
11777,3628.0
11778,4768.0
11779,13091.0
11780,5576.0
11782,5387.0
11783,7090.0
11784,8441.0
11786,1895.0
11787,11834.0
11788,5581.0
11789,2802.0
11790,4503.0
11791,8046.0
11792,3044.0
11793,10430.0
11794,0.0
11795,8026.0
11796,1273.0
11797,3162.0
11801,12871.0
11803,10324.0
11804,1429.0
11901,11404.0
11930,316.0
11931,11.0
11932,313.0
11933,3069.0
11934,2750.0
11935,1199.0
11937,8633.0
11939,751.0
11940,2051.0
11941,887.0
11942,2399.0
11944,2043.0
11946,6503.0
11947,100.0
11948,303.0
11949,4998.0
11950,4753.0
11951,4953.0
11952,2044.0
11953,5410.0
11954,1618.0
11955,1402.0
11956,142.0
11957,656.0
11958,321.0
11959,240.0
11960,429.0
11961,5575.0
11962,265.0
11963,3543.0
11964,1096.0
11965,285.0
11967,8486.0
11968,5539.0
11970,224.0
11971,2637.0
11972,125.0
11973,0.0
11975,210.0
11976,1140.0
11977,1021.0
11978,1623.0
11980,2416.0
12007,136.0
12008,201.0
12009,3122.0
12010,11277.0
12015,1518.0
12017,214.0
12018,2836.0
12019,6559.0
12020,14473.0
12022,401.0
12023,824.0
12024,45.0
12025,2347.0
12027,1690.0
12028,387.0
12029,492.0
12031,86.0
12032,354.0
12033,3507.0
12035,202.0
12036,96.0
12037,1727.0
12040,20.0
12041,162.0
12042,111.0
12043,2930.0
12045,138.0
12046,272.0
12047,9756.0
12051,1503.0
12052,705.0
12053,1821.0
12054,7030.0
12056,789.0
12057,773.0
12058,588.0
12059,672.0
12060,787.0
12061,3984.0
12062,764.0
12063,299.0
12064,123.0
12065,18206.0
12066,770.0
12067,498.0
12068,1000.0
12069,117.0
12070,771.0
12071,99.0
12072,979.0
12074,1187.0
12075,1076.0
12076,578.0
12077,2668.0
12078,9845.0
12082,3.0
12083,1225.0
12084,2211.0
12085,112.0
12086,699.0
12087,608.0
12090,2262.0
12092,641.0
12093,592.0
12094,826.0
12095,5290.0
12106,952.0
12108,170.0
12110,8014.0
12115,41.0
12116,616.0
12117,1281.0
12118,7526.0
12120,241.0
12121,722.0
12122,1737.0
12123,2071.0
12124,116.0
12125,449.0
12130,133.0
12131,90.0
12132,93.0
12134,1747.0
12136,370.0
12137,847.0
12138,1173.0
12139,116.0
12140,620.0
12143,2166.0
12144,9552.0
12147,227.0
12148,1810.0
12149,946.0
12150,283.0
12151,438.0
12153,339.0
12154,1223.0
12155,711.0
12156,318.0
12157,1755.0
12158,2767.0
12159,3825.0
12160,338.0
12161,23.0
12164,225.0
12165,116.0
12166,554.0
12167,965.0
12168,680.0
12169,209.0
12170,2073.0
12172,56.0
12173,734.0
12174,250.0
12175,296.0
12176,155.0
12177,146.0
12180,21967.0
12182,6604.0
12183,1485.0
12184,2917.0
12185,687.0
12186,2630.0
12187,292.0
12188,4916.0
12189,8681.0
12190,239.0
12192,491.0
12193,887.0
12194,70.0
12195,81.0
12196,1301.0
12197,780.0
12198,2933.0
12202,4559.0
12203,13472.0
12204,3933.0
12205,11496.0
12206,6451.0
12207,1288.0
12208,10596.0
12209,4485.0
12210,5366.0
12211,4321.0
12222,54.0
12226,0.0
12302,11491.0
12303,11786.0
12304,9210.0
12305,3754.0
12306,11697.0
12307,3137.0
12308,5955.0
12309,12837.0
12401,15150.0
12404,1694.0
12405,210.0
12406,328.0
12407,66.0
12409,442.0
12410,253.0
12411,157.0
12412,260.0
12413,1416.0
12414,4108.0
12416,86.0
12417,392.0
12418,149.0
12419,396.0
12420,129.0
12421,135.0
12422,225.0
12423,402.0
12424,166.0
12427,125.0
12428,2789.0
12429,56.0
12430,531.0
12431,652.0
12432,289.0
12433,199.0
12434,405.0
12435,68.0
12436,245.0
12438,26.0
12439,151.0
12440,675.0
12441,47.0
12442,216.0
12443,1576.0
12444,164.0
12446,2180.0
12448,84.0
12449,1095.0
12450,89.0
12451,408.0
12452,19.0
12453,91.0
12454,131.0
12455,895.0
12456,291.0
12457,509.0
12458,857.0
12459,37.0
12460,119.0
12461,673.0
12463,727.0
12464,588.0
12465,159.0
12466,804.0
12468,636.0
12469,399.0
12470,242.0
12471,274.0
12472,643.0
12473,248.0
12474,450.0
12475,271.0
12477,8321.0
12480,207.0
12481,555.0
12482,229.0
12483,38.0
12484,1371.0
12485,262.0
12486,652.0
12487,1500.0
12489,72.0
12490,0.0
12491,813.0
12492,114.0
12493,75.0
12494,341.0
12495,175.0
12496,573.0
12498,2371.0
12501,1002.0
12502,423.0
12503,282.0
12504,0.0
12507,86.0
12508,8367.0
12512,115.0
12513,144.0
12514,1358.0
12515,550.0
12516,708.0
12517,108.0
12518,2340.0
12520,1242.0
12521,801.0
12522,1791.0
12523,1032.0
12524,6437.0
12525,654.0
12526,1519.0
12527,19.0
12528,5771.0
12529,1103.0
12530,42.0
12531,901.0
12533,8800.0
12534,7855.0
12538,5382.0
12540,3173.0
12542,2265.0
12543,1401.0
12544,22.0
12545,2093.0
12546,1191.0
12547,1256.0
12548,333.0
12549,3714.0
12550,20116.0
12553,10620.0
12561,6444.0
12563,2197.0
12564,2895.0
12565,570.0
12566,4069.0
12567,1083.0
12569,4043.0
12570,2166.0
12571,4044.0
12572,4273.0
12574,196.0
12575,553.0
12577,620.0
12578,949.0
12580,1624.0
12581,897.0
12582,1704.0
12583,805.0
12585,478.0
12586,4367.0
12589,5468.0
12590,14224.0
12592,426.0
12594,1485.0
12601,17095.0
12603,16970.0
12604,59.0
12701,4859.0
12719,451.0
12720,101.0
12721,2427.0
12722,0.0
12723,779.0
12724,36.0
12725,72.0
12726,545.0
12729,540.0
12732,465.0
12733,84.0
12734,300.0
12736,81.0
12737,672.0
12738,119.0
12740,784.0
12741,140.0
12742,56.0
12743,155.0
12745,6.0
12746,240.0
12747,803.0
12748,726.0
12749,117.0
12750,26.0
12751,463.0
12752,170.0
12754,2840.0
12758,1978.0
12759,448.0
12760,148.0
12762,138.0
12763,391.0
12764,849.0
12765,329.0
12766,226.0
12767,51.0
12768,313.0
12769,177.0
12770,101.0
12771,5628.0
12775,980.0
12776,757.0
12777,321.0
12778,217.0
12779,793.0
12780,1043.0
12781,60.0
12783,640.0
12784,0.0
12785,318.0
12786,261.0
12787,79.0
12788,916.0
12789,1020.0
12790,1855.0
12791,213.0
12792,101.0
12801,6819.0
12803,3637.0
12804,12458.0
12808,147.0
12809,1463.0
12810,214.0
12811,65.0
12812,89.0
12814,659.0
12815,534.0
12816,2085.0
12817,964.0
12819,122.0
12820,7.0
12821,132.0
12822,2426.0
12823,225.0
12824,460.0
12827,1556.0
12828,3745.0
12831,7050.0
12832,2615.0
12833,2184.0
12834,2766.0
12835,1268.0
12836,264.0
12837,341.0
12838,297.0
12839,5779.0
12841,66.0
12842,451.0
12843,280.0
12844,95.0
12845,1959.0
12846,1579.0
12847,280.0
12849,118.0
12850,978.0
12851,133.0
12852,164.0
12853,585.0
12854,40.0
12855,98.0
12856,170.0
12857,319.0
12858,87.0
12859,657.0
12860,147.0
12861,210.0
12862,95.0
12863,309.0
12864,4.0
12865,1359.0
12866,18056.0
12870,780.0
12871,1677.0
12872,0.0
12873,343.0
12874,84.0
12878,284.0
12883,2082.0
12884,222.0
12885,2165.0
12886,87.0
12887,1754.0
12901,14282.0
12903,874.0
12910,670.0
12911,33.0
12912,758.0
12913,473.0
12914,358.0
12915,36.0
12916,916.0
12917,450.0
12918,1191.0
12919,1099.0
12920,1032.0
12921,990.0
12922,17.0
12923,228.0
12924,111.0
12926,1074.0
12927,169.0
12928,771.0
12929,341.0
12930,337.0
12932,599.0
12933,3.0
12934,462.0
12935,541.0
12936,315.0
12937,546.0
12939,97.0
12941,626.0
12942,259.0
12943,121.0
12944,1591.0
12945,197.0
12946,2346.0
12950,339.0
12952,107.0
12953,4796.0
12955,218.0
12956,583.0
12957,788.0
12958,746.0
12959,879.0
12960,450.0
12961,78.0
12962,2293.0
12964,27.0
12965,142.0
12966,1188.0
12967,461.0
12969,129.0
12970,180.0
12972,2804.0
12973,55.0
12974,837.0
12975,84.0
12976,119.0
12977,8.0
12978,81.0
12979,1256.0
12980,528.0
12981,838.0
12983,3520.0
12985,326.0
12986,2313.0
12987,95.0
12989,482.0
12992,1706.0
12993,776.0
12996,875.0
12997,527.0
12998,141.0
13020,41.0
13021,16973.0
13024,0.0
13026,534.0
13027,14779.0
13028,334.0
13029,2961.0
13030,1440.0
13031,7108.0
13032,5229.0
13033,1320.0
13034,809.0
13035,3033.0
13036,3618.0
13037,3701.0
13039,6825.0
13040,1035.0
13041,4560.0
13042,773.0
13044,1138.0
13045,11238.0
13051,35.0
13052,646.0
13053,1967.0
13054,476.0
13057,6504.0
13060,1250.0
13061,319.0
13062,122.0
13063,796.0
13065,74.0
13066,5455.0
13068,1973.0
13069,9819.0
13071,289.0
13072,335.0
13073,2651.0
13074,1739.0
13076,987.0
13077,2981.0
13078,3849.0
13080,1354.0
13081,491.0
13082,1627.0
13083,772.0
13084,1571.0
13087,94.0
13088,10799.0
13090,12219.0
13092,1015.0
13101,949.0
13102,33.0
13103,122.0
13104,6473.0
13108,2726.0
13110,906.0
13111,621.0
13112,684.0
13113,20.0
13114,2935.0
13115,81.0
13116,1408.0
13117,78.0
13118,2034.0
13119,0.0
13120,772.0
13121,0.0
13122,598.0
13123,35.0
13124,43.0
13126,13616.0
13131,1203.0
13132,1657.0
13134,27.0
13135,2387.0
13136,160.0
13138,75.0
13140,1652.0
13141,247.0
13142,2626.0
13143,889.0
13144,441.0
13145,810.0
13146,743.0
13147,379.0
13148,4966.0
13152,3276.0
13153,161.0
13154,13.0
13155,269.0
13156,984.0
13157,328.0
13158,539.0
13159,2055.0
13160,839.0
13162,115.0
13163,118.0
13164,916.0
13165,4153.0
13166,2432.0
13167,1268.0
13202,3249.0
13203,7974.0
13204,8817.0
13205,7330.0
13206,7815.0
13207,5269.0
13208,9188.0
13209,5877.0
13210,8117.0
13211,2512.0
13212,8770.0
13214,3054.0
13215,5576.0
13219,6268.0
